date,sales
5/25/2017,420
5/25/2017,180
5/25/2017,600
5/25/2017,576
5/25/2017,1248
5/25/2017,300
5/25/2017,72
5/25/2017,24
5/25/2017,12
5/25/2017,72
5/25/2017,48
5/25/2017,72
5/25/2017,168
5/25/2017,96
5/25/2017,168
5/25/2017,360
5/25/2017,288
5/25/2017,624
5/25/2017,72
5/25/2017,24
5/25/2017,24
5/25/2017,96
5/25/2017,12
5/25/2017,120
5/25/2017,36
5/25/2017,336
5/26/2017,300
5/26/2017,912
5/26/2017,72
5/26/2017,8808
5/26/2017,1776
5/26/2017,1224
5/26/2017,48
5/26/2017,12
5/26/2017,48
5/26/2017,192
5/26/2017,2592
5/26/2017,84
5/26/2017,288
5/30/2017,420
5/30/2017,1464
5/30/2017,372
5/30/2017,240
5/30/2017,24
5/30/2017,12
5/30/2017,1
5/30/2017,23
5/30/2017,14
5/30/2017,24
5/30/2017,72
5/30/2017,24
5/30/2017,24
5/30/2017,24
5/30/2017,144
5/31/2017,1560
5/31/2017,176
5/31/2017,1080
5/31/2017,160
5/31/2017,576
5/31/2017,348
5/31/2017,1044
5/31/2017,948
5/31/2017,996
5/31/2017,144
5/31/2017,24
5/31/2017,48
5/31/2017,48
5/31/2017,96
5/31/2017,288
5/31/2017,120
5/31/2017,24
5/31/2017,192
5/31/2017,840
5/31/2017,36
5/31/2017,24
5/31/2017,24
5/31/2017,24
5/31/2017,72
5/31/2017,24
5/31/2017,216
6/1/2017,16
6/1/2017,80
6/1/2017,72
6/1/2017,12
6/1/2017,420
6/1/2017,852
6/1/2017,1236
6/1/2017,468
6/1/2017,2976
6/1/2017,132
6/1/2017,120
6/1/2017,48
6/1/2017,24
6/1/2017,72
6/1/2017,24
6/1/2017,192
6/1/2017,48
6/1/2017,132
6/1/2017,12
6/1/2017,24
6/1/2017,288
6/1/2017,120
6/1/2017,144
6/2/2017,1440
6/2/2017,24
6/2/2017,120
6/2/2017,12
6/2/2017,48
6/2/2017,48
6/5/2017,1200
6/5/2017,1000
6/5/2017,960
6/5/2017,24
6/5/2017,240
6/5/2017,1488
6/5/2017,1596
6/5/2017,456
6/5/2017,768
6/5/2017,72
6/5/2017,72
6/5/2017,12
6/5/2017,12
6/5/2017,96
6/5/2017,24
6/5/2017,24
6/5/2017,192
6/5/2017,24
6/5/2017,24
6/5/2017,216
6/5/2017,72
6/5/2017,120
6/5/2017,96
6/5/2017,12
6/5/2017,96
6/5/2017,72
6/5/2017,504
6/6/2017,32
6/6/2017,72
6/6/2017,1440
6/6/2017,768
6/6/2017,1440
6/6/2017,204
6/6/2017,120
6/6/2017,24
6/6/2017,24
6/6/2017,24
6/6/2017,48
6/6/2017,24
6/6/2017,24
6/6/2017,48
6/6/2017,96
6/6/2017,120
6/7/2017,2460
6/7/2017,80
6/7/2017,1020
6/7/2017,624
6/7/2017,12
6/7/2017,192
6/7/2017,1044
6/7/2017,420
6/7/2017,600
6/7/2017,144
6/7/2017,48
6/7/2017,48
6/7/2017,48
6/7/2017,24
6/7/2017,24
6/7/2017,72
6/7/2017,144
6/7/2017,120
6/7/2017,120
6/7/2017,456
6/7/2017,12
6/7/2017,24
6/7/2017,24
6/7/2017,48
6/7/2017,48
6/7/2017,12
6/7/2017,24
6/7/2017,432
6/7/2017,48
6/7/2017,144
6/8/2017,960
6/8/2017,16
6/8/2017,300
6/8/2017,64
6/8/2017,96
6/8/2017,48
6/8/2017,48
6/8/2017,1584
6/8/2017,672
6/8/2017,672
6/8/2017,276
6/8/2017,4944
6/8/2017,108
6/8/2017,120
6/8/2017,192
6/8/2017,48
6/8/2017,24
6/8/2017,72
6/8/2017,48
6/8/2017,144
6/8/2017,48
6/8/2017,240
6/8/2017,360
6/8/2017,12
6/8/2017,24
6/8/2017,1584
6/8/2017,552
6/8/2017,768
6/9/2017,48
6/9/2017,48
6/9/2017,120
6/9/2017,72
6/9/2017,12
6/9/2017,3360
6/9/2017,3288
6/9/2017,768
6/9/2017,792
6/9/2017,216
6/9/2017,1968
6/9/2017,216
6/9/2017,36
6/9/2017,24
6/9/2017,240
6/9/2017,36
6/9/2017,24
6/9/2017,408
6/9/2017,384
6/12/2017,60
6/12/2017,60
6/12/2017,252
6/12/2017,768
6/12/2017,96
6/12/2017,192
6/12/2017,216
6/12/2017,144
6/12/2017,612
6/12/2017,12
6/12/2017,24
6/12/2017,24
6/12/2017,120
6/12/2017,48
6/12/2017,264
6/12/2017,24
6/12/2017,24
6/12/2017,24
6/12/2017,48
